name,type,country,corridors,description
"Micron Technology","Foreign Supplier","US","ai_infrastructure","Micron is the third principal HBM supplier and an AI-memory chokepoint. Counterpoint's Q1 2026 HBM revenue table shows Micron at 21 percent."
"Micron Technology India — Sanand ATMP","Foreign Supplier","US","semiconductors","Micron Sanand ATMP; first approved under ISM in June 2023"
"Microsoft (AI for Health, India programmes)","Private Company","US","ai_medtech","Microsoft India site documents AI for Health programmes including partnerships with Indian MedTech firms."
"Microsoft Azure","Private Company","US","","Microsoft is a major India cloud and AI-infrastructure hyperscaler."
"Microsoft Azure India","Private Company","US","ai_infrastructure; enterprise_software","$17.5bn India commitment; anchor AdaniConneX tenant; primary foreign GPU-cloud for enterprise/government AI."
"Microsoft Corporation","Private Company","US","enterprise_software","Productivity (M365), desktop OS (Windows), cloud (Azure) and ERP (Dynamics). Multi-layer dependency."
"Midwest Advanced Materials","Private Company","IN","critical_minerals","NdFeB rare-earth magnets. Based in Hyderabad, Telangana; stage: Growth. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Midwest Advanced Materials (MAM)","Private Company","IN","","Hyderabad-based private firm (a diversification arm of listed Midwest Ltd., founded 1981) building India's first commercial sintered NdFeB rare-earth"
"Mindgrove Technologies","Private Company","IN","semiconductors","RISC-V SoC company (SHAKTI lineage, IIT Madras ecosystem), Chennai — commercial Indian microcontroller SoCs. Named in The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Mindgrove Technologies — Future ICs","Private Company","IN","semiconductors","Mindgrove: India's first DLI beneficiary; RISC-V SoC for IoT and edge"
"Mineral Exploration and Consultancy Limited","PSU / CPSE","IN","critical_minerals","Miniratna drilling/exploration CPSE; converts GSI prospects into auctionable resources; co-owns KABIL."
"Ministry of Defence","Ministry / Department","IN","defence","Apex ministry for national defence; oversees DDP, DDR&D (DRDO), DMA, DESW; ~₹6.21 lakh crore FY25 budget."
"Ministry of Defence (Government of India)","Ministry / Department","IN","defence","Apex authority owning the budget, DAC and DAP-2020 rules; sets indigenisation mandates routing value to domestic primes."
"Ministry of Electronics and Information Technology","Ministry / Department","IN","ai_infrastructure; enterprise_software; semiconductors","Parent ministry owning Semicon India, ISM, SPECS, DLI, SCL and IndiaAI Mission; the policy/budget chokepoint."
"Ministry of Electronics and Information Technology (MeitY)","Ministry / Department","IN","","Owner of DPDP Act 2023 and Rules 2025, MeghRaj cloud policy, MeitY Cloud Empanelment regime and India Stack initiatives."
"Ministry of Heavy Industries","Ministry / Department","IN","critical_minerals","Administers the rare-earth-magnet (REPM) and auto/ACC-battery PLI schemes; downstream-localisation policy owner."
"Ministry of Mines","Ministry / Department","IN","critical_minerals; defence; semiconductors","Apex mineral policymaker; amended MMDR Act 2023, owns KABIL, runs NCMM; the regulatory chokepoint."
"Mishra Dhatu Nigam Limited","PSU / CPSE","IN","defence","Sole Indian producer of titanium alloys and maraging steels; the materials chokepoint upstream of missiles, subs, engines."
"Mitsui High-tec Inc.","Foreign Supplier","JP","semiconductors","Lead frame supplier; key for legacy packaging"
"Momentive Performance Materials","Foreign Supplier","US","semiconductors","Quartzware and silicone sealants for semiconductor process"
"MOSIP","Technology","IN","enterprise_software","Modular Open Source Identity Platform (IIIT Bangalore, 2018; Aadhaar model). Deployed in Philippines, Ethiopia, Morocco + advanced/pilot in 9+ countries; 100M+ IDs by 2023. India EXPORTS sovereign-identity software."
"Motor-control power electronics","Product / Component","","critical_minerals","Inverters and motor-control electronics that enable magnet-free motor architectures; magnet-free designs shift performance and cost from the magnet to the power-electronics and control layer, making the controller the value-bearing subsystem."
"Multilayer / HDI PCB","Product / Component","IN","defence","High-density interconnect printed circuit boards; ~88% of India's bare PCBs are imported (FY24-25). Catalogued in Who Builds India's Drones? (Techadyant Labs, 2026)."
"Munitions India Limited","PSU / CPSE","IN","defence","Largest OFB-successor DPSU; core ammunition/explosives supplier — the war-stock/consumables base."
"National Accreditation Board for Testing and Calibration Laboratories","Govt Body / Regulator","IN","semiconductors","India's accreditation body for test and calibration labs; issues ISO 17025 accreditations."
"National Aluminium Company Limited","PSU / CPSE","IN","critical_minerals; semiconductors","Integrated aluminium PSU; developing India's first gallium extraction (Damanjodi) and red-mud REE recovery; co-owns KABIL."
"National Aluminium Company Limited (NALCO)","PSU / CPSE","IN","","Navratna PSU under the Ministry of Mines; India's largest integrated aluminium producer."
"National Critical Mineral Mission","Scheme / Programme","IN","ai_infrastructure; critical_minerals; defence; semiconductors","Rs 34,300 cr 7-year whole-of-value-chain mission: exploration, foreign assets, processing, recycling, stockpiling."
"National Critical Mineral Mission (NCMM)","Scheme / Programme","IN","","Total outlay Rs.34,300 crore over 7 years (FY 2024-25 to FY 2030-31): Rs.16,300 crore government expenditure + Rs.18,000 crore expected PSU/industry i"
"National Health Authority","Govt Body / Regulator","IN","ai_medtech","Implements PM-JAY and ABDM."
"National Informatics Centre (NIC)","Govt Body / Regulator","IN","enterprise_software","Operates MeghRaj National Cloud and government data centres."
"National Quantum Mission","Scheme / Programme","IN","ai_infrastructure","Rs 6,003 crore mission (2023) across quantum computing, communication, sensing and materials; Budget 2026-27 allocation raised to Rs 900 crore."
"National TB Elimination Programme (NTEP)","Scheme / Programme","IN","ai_medtech","Public-health programme; major AI chest-X-ray screening deployments."
"National Test House","Govt Body / Regulator","IN","defence","Government test laboratory, Ghaziabad; designated drone type-certification body (Dec 2023)."
"Natural Graphite","Mineral / Material","IN","critical_minerals","Anode material for lithium-ion cells. China mines ~80% of global natural graphite, controls 99% of spherical graphite refining and >80% of coated sphe"
"Naval Group","Foreign Supplier","FR","defence","Naval Group; Scorpene (Kalvari-class) design and ToT to MDL; AIP module development support."
"Naval propulsion (marine engines)","Technology","IN","defence","Warships run on imported MTU/GE/Pielstick; indigenisation early."
"Neogen Chemicals","Private Company","IN","semiconductors","Indian bromine and lithium chemicals; potential electronic-grade"
"Networking and optical interconnects (opportunity surface)","Opportunity surface","IN","ai_infrastructure","Networking and optical interconnects is an AI Infrastructure opportunity surface in corridor 3."
"NewSpace Research & Technologies","Private Company","IN","defence","Swarm UAS / loitering systems. Based in Bengaluru, Karnataka; stage: Growth. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Nickel (battery-grade sulphate)","Mineral / Material","IN","critical_minerals","High-purity nickel sulphate is the battery-relevant form."
"Nikon Corporation — Precision Equipment","Foreign Supplier","JP","semiconductors","ArF/i-line lithography"
"NIRAMAI Health Analytix","Private Company","IN","ai_medtech","NIRAMAI official site describes SMANTIQ thermography platform; FDA Breakthrough Device designation reported in 2021."
"NITI Aayog","Govt Body / Regulator","IN","ai_medtech","National policy think-tank; National Strategy for AI."
"NPO Mashinostroyenia","Foreign Supplier","RU","defence","Referenced in Defence Atlas relationships."
"NTPC Mining Ltd","Private Company","IN","critical_minerals","Referenced in Atlas relationships."
"NTT Bengaluru 4 campus","Facility / Plant","IN","ai_infrastructure","NTT Bengaluru 4 is planned at 67.2 MW critical IT load across three 22.4 MW data centres in Electronic City, with AI and high-density infrastructure p"
"NTT Global Data Centers (India)","Private Company","JP","ai_infrastructure","Largest colocation operator in India by share; ~500 MW Mumbai; IndiaAI second-tender qualified."
"NTT Global Data Centers India","Private Company","JP","","NTT is one of India's largest data-centre operators."
"NTT Noida 2 campus","Facility / Plant","IN","ai_infrastructure","NTT Noida 2 is a Delhi NCR campus with 52.8 MW planned critical IT load across two data centres; the first data centre supports 22.4 MW."
"NVIDIA","Foreign Supplier","US","","NVIDIA is the dominant AI-accelerator supplier. OECD's AI-infrastructure review cites estimates above 80 percent share for GPU chips used in AI, and I"
"NVIDIA Corporation","Foreign Supplier","US","ai_infrastructure; ai_medtech; semiconductors","THE chokepoint — ~80% of AI-GPU supply; every major Indian DC and the IndiaAI cluster run on Nvidia silicon."
"Nxtra Data Limited","Private Company","IN","ai_infrastructure","Bharti Airtel's DC subsidiary; couples compute capacity to Airtel's subsea backbone."
"Oil India Limited","PSU / CPSE","IN","critical_minerals","Referenced in Atlas relationships."
"OmniVision","Foreign Supplier","US","ai_medtech","Medical and endoscopy CMOS image sensors."
"OncoStem Diagnostics","Private Company","IN","ai_medtech","OncoStem official site describes CanAssist Breast; BIRAC support documented."
"onsemi","Foreign Supplier","US","semiconductors","SiC power devices. Named in the incumbent map of The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Optical transceivers","Product / Component","","ai_infrastructure","Optical transceivers and high-speed interconnects are required for AI-cluster networking and long-haul cloud connectivity."
"Optimized Electrotech","Private Company","IN","defence","EO / surveillance sensors. Based in Ahmedabad, Gujarat; stage: Startup. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Oracle Corporation","Private Company","US","enterprise_software","ERP, database (market-leading) and cloud. Core foreign control of the database layer; owns FLEXCUBE core-banking (India-built)."
"OSAT / ATMP services","Industrial Process","","semiconductors","Outsourced semiconductor assembly, test and packaging. Top-3 (ASE, Amkor, JCET) hold over 60% of OSAT revenue (TrendForce 2025). India's ISM-approved units are concentrated here. Mapped in The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Pall India","Private Company","IN","semiconductors","Indian filtration distribution and service"
"Paras Defence & Space Technologies","Private Company","IN","defence","Optics / drones. Based in Mumbai, Maharashtra; stage: Listed. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"PathShodh Healthcare","Private Company","IN","ai_medtech","PathShodh official site describes anuPath POC device; BIRAC has supported via Biotechnology Industry Research Assistance Council grants."
"People's Republic of China","Country","CN","ai_infrastructure; critical_minerals; defence; semiconductors","Controls ~90% REE processing, ~98% gallium/germanium, ~90% battery-graphite refining; the binding chokepoint."
"Perfios","Private Company","IN","enterprise_software","Indian fintech SaaS (2024 unicorn); revenue ~Rs 558 cr FY24 (+37%)."
"Phelix AI","Private Company","IN","ai_medtech","Phelix AI website describes healthcare workflow automation; included as adjacent AI-MedTech enabler, not core SaMD."
"Philips India Healthcare","Private Company","NL","ai_medtech","Philips India Healthcare site describes AI Manager and Indian manufacturing facilities."
"Photoresist","Mineral / Material","JP","semiconductors","Light-sensitive polymer critical to lithography and the single sharpest semiconductor chokepoint. Four Japanese firms (JSR, Tokyo Ohka, Shin-Etsu, Fujifilm) control ~87-91% of global supply, rising toward ~91% for advanced EUV grades [V1]. India has effectively zero domestic capa"
"Pidilite Industries","Private Company","IN","semiconductors","Indian adhesives; potential packaging adhesives"
"PLI for Medical Devices","Scheme / Programme","IN","ai_medtech","Production-Linked Incentive scheme for domestic medical-device manufacturing."
"PLI Scheme for Drones and Drone Components","Scheme / Programme","IN","defence","Production-linked incentive notified 30 Sep 2021; Rs 120 crore outlay (FY22-23 to FY24-25), 23 beneficiaries (12 drone + 11 component manufacturers), 20% of value addition with 40% minimum VA."
"Polycab India (medical cable assemblies)","Private Company","IN","ai_medtech","Polycab manufactures cables including medical-grade cable assemblies."
"Polycab India Limited","Private Company","IN","","Electricals / wires. Corridor-node tenant/investor documented in Techadyant corridor dossiers (DPIIT/NICDC-sourced)."
"Positive Indigenisation List","Standard / Certification","IN","defence","MoD Lists I-V (2020-2024) of items reserved for Indian procurement; ~5,000+ Line Items across lists."
"Powerchip Semiconductor Manufacturing Corporation","Foreign Supplier","TW","semiconductors","Taiwanese foundry licensing the Dholera process technology; India's logic-fab process IP depends on PSMC."
"Praxair India (Linde)","Private Company","IN","semiconductors","Praxair India (Linde subsidiary); specialty gases"
"Predible Health","Private Company","IN","ai_medtech","Predible official site describes liver AI; limited independent corroboration."
"PX4 / ArduPilot autopilot stack","Technology","","defence","Open-source drone autopilot software stacks; no licence chokepoint — the software layer where India competes on merit. Analysed in Who Builds India's Drones? (Techadyant Labs, 2026)."
"QNu Labs","Private Company","IN","enterprise_software","Quantum-safe security: QKD and QRNG products; NQM-supported. Profiled in Beyond Quantum Computing (Techadyant Labs, 2026)."
"Qorvo","Foreign Supplier","US","defence","Qorvo; GaN RF MMICs for radar/EW, 5G and defence; secondary GaN chokepoint."
"QpiAI","Private Company","IN","ai_infrastructure","Quantum computing and AI company, Bengaluru; building superconducting quantum processors under the National Quantum Mission. Profiled in Beyond Quantum Computing (Techadyant Labs, 2026)."
"Qualcomm","Foreign Supplier","US","ai_medtech","Connectivity and edge-AI SoCs."
"Quantum technologies (QKD, sensing)","Technology","IN","defence","DRDO/ISRO QKD demos; early TRL but a genuine leapfrog surface."
"Qure.ai","Private Company","IN","ai_medtech","FDA 510(k) database lists Qure.ai K192911 cleared for qER intracranial hemorrhage detection on head CT. Company website and USAID/CTD press releases confirm NTEP deployments."
"Radiolink","Foreign Supplier","CN","defence","Flight controllers and RC links. Mapped in the China supply-chain appendix of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Rafael Advanced Defense Systems","Foreign Supplier","IL","defence","Rafael; Spike ATGM, SPICE 2000, Barak-8/MRSAM (with IAI), Litening targeting pods; ~$1 bn+ annual trade."
"Ramco Systems","Private Company","IN","enterprise_software","Indian ERP vendor; among the few domestic players in the foreign-dominated ERP top tier."
"Raphe mPhibr Private Limited","Private Company","IN","defence","Military UAVs / heavy-lift. Based in Noida, Uttar Pradesh; stage: Growth. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Raphe mPhibr Pvt Ltd","Private Company","IN","defence","Raphe mPhibr; UAVs (Vibhram HS, R-Hawk), counter-UAS, drones; iDEX and large EP orders; MEA strategic partner."
"Rare Earth Elements (magnet: Nd, Pr, Dy, Tb)","Mineral / Material","IN","critical_minerals","Magnet rare earths (neodymium, praseodymium, dysprosium, terbium) underpin sintered NdFeB permanent magnets used in EV traction motors, wind turbines,"
"Rare Earth Elements / Neodymium-Praseodymium","Mineral / Material","CN","ai_infrastructure; critical_minerals; defence","NdPr drives EV/wind/defence magnets; India ~100% China-dependent for finished NdFeB (imported 53,748 t FY25)."
"Rare-earth permanent magnets (NdFeB)","Technology","IN","critical_minerals","~100% import, China-dominated. New sintered-magnet scheme targets ~2028 first output."
"Rare-earth separation and refining (Nd, Pr, Dy, Tb)","Opportunity surface","IN","critical_minerals","India's only operating separation capacity is IREL's Udyogamandal and OSCOM REEP."
"Rare-Earth Separation and Refining (Solvent Extraction)","Industrial Process","IN","critical_minerals","Upstream of magnet manufacturing; converts mixed rare-earth concentrates into high-purity individual oxides (Nd₂O₃, Pr₆O₁₁, Dy₂O₃, Tb₄O₇)."
"RBI Storage of Payment System Data directive (2018)","Standard / Certification","IN","enterprise_software","RBI circular of 6 April 2018 mandating on-soil storage of payment-system data."
"Reasi Lithium Deposit","Mine","IN","","GSI-announced inferred lithium resource of 5.9 million tonnes in Reasi district, Jammu & Kashmir (February 2023)."
"Reasi Lithium Deposit (Salal-Haimana, J&K)","Facility / Plant","IN","critical_minerals","India's headline 5.9 Mt lithium find; auction failed twice, returned to GSI — bellwether of non-bankable domestic supply."
"Reliance Industries — Hydrogen","Private Company","IN","semiconductors","Reliance; major industrial hydrogen capacity; green H2 plans"
"Reliance Industries Limited","Private Company","IN","ai_infrastructure","Largest single Indian AI-infra bet (~$110bn); GW-scale Jamnagar AI DC on Nvidia Blackwell with captive green power."
"Remidio Innovative Solutions","Private Company","IN","ai_medtech","Remidio official site describes FoP and AI products; CE mark and FDA clearance for fundus camera reported."
"Renesas Electronics Corporation","Foreign Supplier","JP","semiconductors","Japanese IDM supplying packaging tech and anchor demand to CG Semi."
"Research Centre Imarat","Research Institution","IN","defence","RCI; Hyderabad; missile seekers (RF, IIR), navigation, BrahMos navigation, BMD kill vehicle."
"Reserve Bank of India (RBI)","Govt Body / Regulator","IN","enterprise_software","Banking and payments regulator; issued the 6 April 2018 payment-data-localisation directive."
"Resonac Corporation (Showa Denko)","Foreign Supplier","JP","semiconductors","Showa Denko + Hitachi Chemical merger; CMP/precursor concentration"
"RISC-V processor IP","Technology","","semiconductors","Open instruction-set processor IP — the open door in an otherwise closed IP layer; no monopoly yet (SiFive ~15%, Andes, Ventana). India's SHAKTI-lineage challengers: InCore, Mindgrove. Mapped in The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"ROHM Semiconductor","Foreign Supplier","JP","semiconductors","SiC power devices. Named in the incumbent map of The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Rolls-Royce","Foreign Supplier","UK","defence","Rolls-Royce; Adour Mk871 (Hawk AJT), earlier Gnome (Mi-8); Kaveri co-development discussions; Trent for VVIP."
"Rosoboronexport","Foreign Supplier","RU","defence","Rosoboronexport; Su-30MKI, MiG-29K, S-400, T-90, Igla-S, BrahMos Russian side; sanctioned by OFAC."
"Russian Federation (Rosoboronexport / Almaz-Antey)","Foreign Supplier","RU","defence","Largest source of India's legacy fleet and spares; S-400 and BrahMos JV partner."
"RV-VLSI Design Center","Private Company","IN","semiconductors","RV-VLSI: long-standing VLSI training institute"
"Safran Aircraft Engines","Foreign Supplier","FR","defence","Safran; M88 (Rafale), Shakti (Ardiden 1H) co-development with HAL; 110 kN AMCA engine JV talks with DRDO."
"Sagar Defence Engineering","Private Company","IN","defence","Autonomous maritime / aerial systems. Based in Pune, Maharashtra; stage: Startup. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Salesforce, Inc.","Private Company","US","enterprise_software","Anchors enterprise CRM in India. Heavy in BFSI, pharma and IT services."
"Samsung Electronics","Foreign Supplier","KR","ai_infrastructure; ai_medtech","Samsung Electronics is a principal HBM and DRAM supplier and a key swing factor in AI-memory supply."
"Sanand semiconductor cluster","District Cluster","IN","semiconductors","Sanand, Gujarat hosts Micron ATMP, CG Semi and Kaynes Semicon."
"Sankalp Semiconductor","Private Company","IN","semiconductors","Sankalp Semiconductor: analog/mixed-signal design; acquired by Mitsui"
"Sankara Nethralaya","Research Institution","IN","ai_medtech","Sankara Nethralaya partners with Google and Remidio for AI DR research and deployment."
"SAP SE","Private Company","DE","enterprise_software","Global ERP incumbent. >5,000 Indian enterprises run SAP; SAP India Pvt Ltd revenue ~Rs 8,870 cr FY25. Deepest-captured layer of India enterprise stack."
"Sarvam AI","Private Company","IN","ai_infrastructure; enterprise_software","State-anointed sovereign-LLM builder; subsidised 4,096 H100s at Yotta; the services/IP node for model sovereignty."
"Sasken Technologies Ltd","Private Company","IN","semiconductors","Sasken: product engineering and digital transformation; chip-to-cognition R&D services"
"Scheme for Promotion of Manufacturing of Electronic Components and Semiconductors","Scheme / Programme","IN","semiconductors","Capital-subsidy scheme for components/specialty materials; load-bearing for upstream localisation."
"Scheme to Promote Manufacturing of Sintered Rare Earth Permanent Magnets","Scheme / Programme","IN","ai_infrastructure; critical_minerals; defence","Rs 7,280 cr scheme (Nov 2025) to build 6,000 MTPA NdFeB magnet capacity; India's instrument to close the magnet import gap."
"Scheme to Promote Manufacturing of Sintered Rare Earth Permanent Magnets (REPM)","Scheme / Programme","IN","","Total outlay Rs.7,280 crore: Rs.6,450 crore sales-linked incentives (5 years) + Rs.750 crore capital subsidy."
"Sectrio","Private Company","IN","semiconductors","OT/ICS cybersecurity platform (a Subex business) — India's challenger in the open OT-security field. Named in The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"SEMI International","Industry Body","US","semiconductors","Global industry body for semiconductor manufacturing equipment and materials; issues SEMI standards."
"Semi-Conductor Laboratory","PSU / CPSE","IN","defence; semiconductors","India's only operational government IDM fab (180nm); strategic chokepoint for ISRO/DRDO/defence-grade chips."
"Semicon 2.0","Scheme / Programme","IN","semiconductors","Cabinet-approved second phase of India's semiconductor support framework, announced 15 July 2026; ~INR 1.27 lakh crore."
"Semicon 2.0 Ecosystem","Ecosystem","IN","semiconductors","The eight upstream semiconductor streams beyond fab and OSAT — materials, chemicals, equipment, precision manufacturing, advanced packaging, testing, fab automation and industrial software. Together ~65% of value-chain value and ~78% of the gross-margin pool. Techadyant models a "
"Semicon India Programme","Scheme / Programme","IN","semiconductors","Rs 76,000 cr umbrella scheme; up to 50% fiscal support that makes each approved unit viable."
"Semiconductor Advanced Packaging (opportunity stream)","Opportunity surface","IN","semiconductors","2.5D/3D and chiplet packaging, OSAT/ATMP deepening into the value-capture layer. ~Rs 9,160 cr/yr by 2035 [modelled]. India OSAT cost-arbitrage vs Taiwan a defensible moat."
"Semiconductor Chemicals (opportunity stream)","Opportunity surface","IN","semiconductors","Photoresists, etchants, CMP slurries and pads, high-purity solvents and specialty process gases. ~Rs 4,420 cr/yr by 2035 [modelled]. Contains the photoresist chokepoint."
"Semiconductor Equipment (opportunity stream)","Opportunity surface","IN","semiconductors","Lithography support, metrology and inspection, deposition, vacuum, gas delivery and wafer-handling systems. Largest pool at ~Rs 9,580 cr/yr by 2035 [modelled]. India imports ~99% of lithography and ~88% of metrology tools [estimated]."
"Semiconductor Fab Automation (opportunity stream)","Opportunity surface","IN","semiconductors","Factory automation, wafer-handling robotics and manufacturing-execution control. ~Rs 2,820 cr/yr by 2035 [modelled]."
"Semiconductor fab equipment","Product / Component","","semiconductors","Lithography, deposition, etch, metrology tools — each sub-segment a near-oligopoly (ASML litho; Applied Materials, Lam, KLA, Tokyo Electron). Mapped in The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Semiconductor Industrial Software (opportunity stream)","Opportunity surface","IN","semiconductors","MES, digital twin and yield-optimisation software. Most asymmetric opportunity — repurposes India IT/engineering base at marginal capital. ~Rs 4,830 cr/yr by 2035 [modelled]."
"Semiconductor Laboratory (SCL) — ISRO/MeitY","Research Institution","IN","semiconductors","SCL Mohali: India's first 6-inch wafer fab; characterisation and testing"
"Semiconductor Materials (opportunity stream)","Opportunity surface","IN","semiconductors","Silicon, silicon carbide, gallium nitride, quartz, wafers and substrates. Critical enabler; ~Rs 3,100 cr/yr addressable by 2035 [modelled]. India near-fully import-dependent today."
"Semiconductor Precision Manufacturing (opportunity stream)","Opportunity surface","IN","semiconductors","Precision machining, toolroom capability, cleanroom sub-systems for fab-support machinery. ~Rs 3,430 cr/yr by 2035 [modelled]. High-leverage, repurposes existing engineering base."
"Semiconductor Testing (opportunity stream)","Opportunity surface","IN","semiconductors","Automated test equipment, probe cards, burn-in and reliability testing. ~Rs 2,740 cr/yr by 2035 [modelled]. Tier-1 speed-up opportunity."
"ServiceNow, Inc.","Private Company","US","enterprise_software","Dominant ITSM/ITOM platform in large Indian enterprises and global capability centres."
"SGS India","Private Company","IN","semiconductors","SGS India: inspection and testing services"
"Shimadzu","Foreign Supplier","JP","ai_medtech","Medical imaging systems and X-ray equipment."
"Shin-Etsu Chemical","Foreign Supplier","JP","semiconductors","Photoresists and semiconductor materials — Japanese oligopoly member. Named in the incumbent map of The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Shin-Etsu Chemical — Photoresist Division","Foreign Supplier","JP","semiconductors","Photoresist and quartz; cross-portfolio chokepoint"
"Shin-Etsu Chemical Co., Ltd","Foreign Supplier","JP","semiconductors","Largest silicon wafer supplier globally; ~30% wafer share, also photoresist, quartz, Rare gas"
"Shin-Etsu Quartz Products","Foreign Supplier","JP","semiconductors","Quartz crucibles, photomask substrates"
"Shinko Electric Industries","Foreign Supplier","JP","semiconductors","Japanese IC-substrate maker; one of three firms holding roughly 70% of the global package-substrate market."
"Shogini Technoarts","Private Company","IN","ai_medtech","Shogini Technoarts is an Indian PCB manufacturer with medical-grade capability."
"Shree Ganesh Remedies Limited (SGRL)","Private Company","IN","semiconductors","Shree Ganesh Remedies: electronic-grade specialty chemicals; chlorides and bromides"
"SiCSem Private Limited","Private Company","IN","defence; semiconductors","India's first commercial Silicon Carbide compound-semi fab (Bhubaneswar, with UK Clas-SiC); SiC power-device chokepoint."
"SiCSem Pvt Ltd","Private Company","IN","semiconductors","SiCSem; SiC compound semiconductor fab in Odisha"
"Siemens EDA","Foreign Supplier","DE","semiconductors","EDA (formerly Mentor Graphics), ~13% market share. Named in the incumbent map of The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Siemens Healthineers India","Private Company","DE","ai_medtech","Siemens Healthineers India site describes AI-Rad Companion and Goa manufacturing."
"SiFive","Foreign Supplier","US","semiconductors","RISC-V IP leader, ~15% of the emerging RISC-V IP market. Named in the incumbent map of The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Sify Mumbai 03 Rabale","Facility / Plant","IN","ai_infrastructure","Sify Mumbai 03 Rabale is Sify's largest hyperscale campus, listed at 96.94 MW IT power on its India data-centre page, with NVIDIA DGX-ready liquid-coo"
"Sify Noida 02","Facility / Plant","IN","ai_infrastructure","Sify Noida 02 is an AI-ready data-centre campus listed at 25.92 MW IT power and supports high-density liquid-cooled racks."
"Sify Technologies","Private Company","IN","ai_infrastructure","Sify operates AI-ready data-centre campuses and says it has 14 operational data centres, 188 MW live capacity and NVIDIA DGX-ready liquid-cooling cert"
"SigTuple Technologies","Private Company","IN","ai_medtech","SigTuple official site describes AI100 platform with Shonit/Apratha product lines; Mint reported Series C funding."
"Silicon carbide (SiC) devices","Product / Component","","semiconductors","Wide-bandgap power semiconductors for EVs and power electronics; top-5 (Infineon, STMicroelectronics, Wolfspeed, onsemi, ROHM) held over 90% of 2024 revenue. Mapped in The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Single-crystal turbine blade","Technology","IN","defence","Single-crystal turbine blades; key chokepoint for indigenous aero-engine; DRDO/GTRE + MIDHANI development (limited yield)."
"Sintered NdFeB magnet manufacturing","Opportunity surface","IN","critical_minerals","Anchor opportunity for the Rs.7,280 crore Ministry of Heavy Industries scheme (6,000 MTPA target)."
"Sintered NdFeB Permanent Magnet Manufacturing","Industrial Process","IN","critical_minerals","The downstream bottleneck of the rare-earth value chain. Globally 94% of sintered NdFeB magnets are produced in China (IEA, 2024)."
"SK Materials / SK Specialty","Foreign Supplier","KR","semiconductors","Top electronic specialty gas supplier; NF3/WF6 leader"
"Skanray Technologies","Private Company","IN","ai_medtech","Skanray official site describes X-ray and ICU products; Hindu BusinessLine reported funding rounds."
"Small arms & ammunition","Technology","IN","defence","Mature domestic base; selective propellant and specialty rounds imported."
"Small UAV (multirotor)","Product / Component","IN","defence","Small multirotor unmanned aircraft — the dominant civil/commercial drone class. Finished-drone imports banned (2022) while components remain 'Free': FY25-26 customs recorded $8.3M finished drones vs $767M aircraft/drone parts. Catalogued in Who Builds India's Drones? (Techadyant "
"Software-defined radio & secure comms","Technology","IN","defence","SDR and crypto maturing; some RF and waveform IP still external."
"Solar Defence & Aerospace","Private Company","IN","defence","Loitering munitions / counter-UAS (Solar Industries subsidiary). Based in Nagpur, Maharashtra; stage: Subsidiary of listed parent. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Solar Industries India Limited","Private Company","IN","defence","Largest private explosives/ammunition and loitering-munition maker (Nagastra, Pinaka rockets)."
"Sony Semiconductor","Foreign Supplier","JP","ai_medtech","CMOS image sensors."
"Sovereign compute / GPU-as-a-service (opportunity surface)","Opportunity surface","IN","ai_infrastructure","Sovereign compute / GPU-as-a-service is an AI Infrastructure opportunity surface in corridor 3."
"Specialty process gases","Mineral / Material","JP","semiconductors","High-purity electronic gases essential to deposition and etch. India imports an estimated ~92% [estimated]. Part of the chemicals stream."
"Specialty Semiconductor Gases and Photoresist","Mineral / Material","JP","semiconductors","Photoresist, specialty gases, high-purity chemicals, wafers; >90% imported — the materials-layer chokepoint."
"SPECS","Scheme / Programme","IN","semiconductors","Scheme for Promotion of Manufacturing of Electronic Components and Semiconductors; 25 percent capex incentive."
"Spherical Graphite Processing","Industrial Process","IN","critical_minerals","Purification and shaping of natural graphite into spherical graphite for battery anodes."
"SRF — Specialty Gases Precursor","Private Company","IN","semiconductors","Indian fluorochemicals; precursor supply for specialty gases"
"SRF Limited","Private Company","IN","semiconductors","Indian fluorochemicals and specialty gas precursors"
"SRF Limited — Specialty Chemicals","Private Company","IN","semiconductors","Major Indian fluorochemicals supplier; specialty gas precursor"
